OrderOwned,type,year,make,model,color,NumCyl,TransType,PurchaseYear,modifiedDate
1,motorcycle,1969,Kawasaki,250,Purple,1,Manual 4spd,1971,1445640624
2,car,1968,Fiat,850 Spider,Red,4,Manual 4spd,1973,1445640680
3,car,1969,Volkswagen,fastback,Red,4,Manual 4spd,1975,1445640664
4,car,1974,Audi,Fox,Blue,4,Manual 4spd,1977,1445640639
5,motorcycle,1974,Honda,400F,Blue,4,Manual 6spd,1978,1445640730
6,car,1976,Volkswagen,Scirocco,Silver,4,Manual 5spd,1979,1445640829
7,motorcycle,1978,Yamaha,650,Green,2,Manual 5spd,1980,1445640904
8,car,1972,Opel,Manta Rallye,Orange,4,Manual 4spd,1981,1445640969
9,car,1980,Mazda,626 Anniv Ed,Metallic Red,4,Manual 5spd,1982,1445641210
10,car,1971,Ford,Pinto,Beater Blue,4,Manual 4spd,1983,1445642128
11,van,1979,Dodge,Cargo an,White,6,Manual 3spd,1985,1445642205
12,car,1978,Datsun,280Z,Green,6,Manual 5spd,1990,1445642251
13,car,1980,Toyota,Corolla,Brown,4,Manual 5spd,1996,1445642341
14,suv,1992,Jeep,Cherokee,Red,6,Auto 4spd,2000,1445642381
15,car,1990,Subaru,Legacy awd wagon,beige,4,Manual 5spd,2003,1445642465
16,car,1991,Audi,200q20v,Silver,5,Manual 5spd,2003,1445642507
